Date	Open*	High	Low	Close**	Volume	Market Cap
Aug 02, 2018	1.06	1.07	0.957459	0.957660	23,212,900	566,639,068
Aug 01, 2018	1.10	1.10	1.02	1.05	46,499,400	589,378,513
Jul 31, 2018	1.15	1.15	1.04	1.08	60,530,300	618,721,970
Jul 30, 2018	1.21	1.21	1.08	1.16	29,318,800	649,410,980
Jul 29, 2018	1.24	1.24	1.18	1.20	33,037,500	666,159,360
Jul 28, 2018	1.15	1.24	1.14	1.24	72,887,904	616,365,632
Jul 27, 2018	1.08	1.18	1.06	1.15	48,542,400	581,367,104
Jul 26, 2018	1.17	1.19	1.06	1.08	18,986,100	627,767,744
Jul 25, 2018	1.10	1.18	1.10	1.17	25,185,700	590,965,184
Jul 24, 2018	1.14	1.17	1.06	1.11	30,631,400	610,241,856
Jul 23, 2018	1.13	1.19	1.11	1.13	19,527,200	604,530,944
Jul 22, 2018	1.15	1.20	1.12	1.13	23,267,800	617,593,472
Jul 21, 2018	1.06	1.21	1.03	1.15	24,756,500	566,374,080
Jul 20, 2018	1.25	1.25	1.05	1.06	22,675,500	669,770,624
Jul 19, 2018	1.21	1.27	1.19	1.25	22,278,400	647,435,456
Jul 18, 2018	1.25	1.32	1.17	1.21	33,282,800	666,029,440
Jul 17, 2018	1.15	1.30	1.10	1.25	33,870,000	617,209,280
Jul 16, 2018	1.12	1.19	1.10	1.16	31,065,300	598,884,928
Jul 15, 2018	0.994493	1.19	0.968675	1.11	44,420,400	532,064,640
Jul 14, 2018	0.964557	1.03	0.926140	0.993604	23,150,400	516,036,896
Jul 13, 2018	0.781053	1.00	0.781053	0.977515	38,241,500	417,458,144
Jul 12, 2018	0.838962	0.842536	0.753761	0.776604	8,523,490	447,470,336
Jul 11, 2018	0.819083	0.862473	0.782750	0.839491	10,384,700	436,868,928
Jul 10, 2018	0.912380	0.916752	0.818490	0.818490	11,830,600	486,677,184
Jul 09, 2018	0.968804	0.979945	0.912537	0.912537	9,589,910	516,632,672
Jul 08, 2018	0.994337	1.00	0.964245	0.968053	9,585,390	530,448,256
Jul 07, 2018	1.01	1.02	0.922377	0.993832	12,927,900	540,411,136
Jul 06, 2018	1.00	1.02	0.942817	1.01	16,446,100	534,715,872
Jul 05, 2018	0.951442	1.13	0.924791	1.00	24,463,900	507,431,392
Jul 04, 2018	0.887873	1.03	0.859933	0.949942	18,949,000	473,463,200
Jul 03, 2018	0.948858	0.988706	0.886003	0.891924	21,272,400	506,006,976
Jul 02, 2018	0.793840	0.989407	0.789722	0.950831	40,158,300	423,247,008
Jul 01, 2018	0.790663	0.835991	0.735183	0.796163	12,751,400	421,498,880
Jun 30, 2018	0.659480	0.834762	0.659480	0.791598	25,434,300	351,505,600
