Date	Open*	High	Low	Close**	Volume	Market Cap
Jul 22, 2018	788.47	820.10	781.30	788.67	529,767,000	13,601,200,000
Jul 21, 2018	767.88	797.06	750.72	789.49	513,513,000	13,244,600,000
Jul 20, 2018	823.40	823.40	765.18	767.66	612,099,000	14,200,700,000
Jul 19, 2018	828.43	840.43	808.73	824.89	684,183,000	14,286,000,000
Jul 18, 2018	849.77	880.99	814.59	829.94	720,551,000	14,652,500,000
Jul 17, 2018	803.12	863.30	784.92	850.78	752,280,000	13,846,700,000
Jul 16, 2018	724.48	806.93	718.95	805.68	534,068,000	12,489,600,000
Jul 15, 2018	703.00	731.57	698.76	722.97	322,284,000	12,118,100,000
Jul 14, 2018	696.42	707.05	690.69	704.06	272,856,000	12,003,400,000
Jul 13, 2018	686.65	708.75	686.65	696.59	352,371,000	11,833,800,000
Jul 12, 2018	706.98	706.98	669.52	682.76	336,003,000	12,182,800,000
Jul 11, 2018	688.87	713.76	688.87	707.48	321,031,000	11,869,500,000
Jul 10, 2018	732.86	739.20	688.63	688.63	374,506,000	12,626,200,000
Jul 09, 2018	751.57	757.37	731.35	733.38	338,876,000	12,947,300,000
Jul 08, 2018	775.78	784.44	745.82	751.35	328,903,000	13,362,800,000
Jul 07, 2018	736.76	775.82	715.29	775.30	772,953,000	12,689,400,000
Jul 06, 2018	748.48	748.67	705.11	737.33	375,967,000	12,890,000,000
Jul 05, 2018	763.30	779.14	725.12	748.23	469,757,000	13,143,700,000
Jul 04, 2018	757.93	808.23	742.93	762.40	420,710,000	13,049,900,000
Jul 03, 2018	775.07	819.37	754.82	757.95	478,640,000	13,343,600,000
Jul 02, 2018	739.25	798.31	724.32	776.18	413,922,000	12,725,700,000
Jul 01, 2018	749.18	752.91	719.76	739.43	558,794,000	12,895,100,000
Jun 30, 2018	717.04	762.92	717.04	748.71	576,081,000	12,340,700,000
Jun 29, 2018	663.00	729.55	652.81	715.71	407,536,000	11,409,400,000
Jun 28, 2018	714.70	720.24	651.21	660.24	340,686,000	12,298,100,000
Jun 27, 2018	698.29	719.93	691.39	713.77	333,937,000	12,014,200,000
Jun 26, 2018	757.25	757.70	700.26	700.26	357,418,000	13,027,400,000
Jun 25, 2018	748.63	774.65	739.04	756.85	447,070,000	12,877,700,000
Jun 24, 2018	764.62	767.02	676.94	749.37	642,142,000	13,151,400,000
Jun 23, 2018	755.24	776.89	742.33	762.76	397,206,000	12,988,600,000
Jun 22, 2018	874.97	876.38	735.41	755.98	589,188,000	15,046,300,000
Jun 21, 2018	890.64	900.72	869.14	874.09	361,314,000	15,314,300,000
Jun 20, 2018	905.71	906.48	866.06	890.45	430,131,000	15,571,700,000
Jun 19, 2018	885.99	918.20	878.48	904.65	397,230,000	15,231,100,000
Jun 18, 2018	849.81	892.96	830.30	885.64	381,404,000	14,607,400,000
Jun 17, 2018	853.06	865.08	849.22	852.10	290,561,000	14,661,800,000
Jun 16, 2018	847.17	861.46	839.34	852.19	311,148,000	14,559,000,000
Jun 15, 2018	896.43	897.09	843.08	849.32	371,602,000	15,404,100,000
Jun 14, 2018	844.36	898.94	832.88	897.60	522,806,000	14,507,800,000
Jun 13, 2018	876.89	881.13	818.62	844.24	547,672,000	15,065,200,000
Jun 12, 2018	957.14	960.15	862.45	874.43	523,141,000	16,442,100,000
Jun 11, 2018	937.63	975.83	906.01	958.56	619,151,000	16,105,300,000
Jun 10, 2018	1,087.46	1,087.46	909.61	939.55	757,266,000	18,677,000,000
Jun 09, 2018	1,117.35	1,137.32	1,092.13	1,092.13	407,028,000	19,188,300,000
Jun 08, 2018	1,145.34	1,149.80	1,096.91	1,118.19	503,856,000	19,666,800,000
Jun 07, 2018	1,135.15	1,166.25	1,133.34	1,143.75	561,721,000	19,489,900,000
Jun 06, 2018	1,157.33	1,157.33	1,107.21	1,131.17	608,503,000	19,868,800,000
Jun 05, 2018	1,110.07	1,158.73	1,064.72	1,152.89	727,427,000	19,055,400,000
Jun 04, 2018	1,170.78	1,206.53	1,086.85	1,105.80	910,656,000	20,095,300,000
Jun 03, 2018	1,083.13	1,190.57	1,074.82	1,170.40	842,262,000	18,589,000,000
Jun 02, 2018	1,003.33	1,093.86	996.59	1,084.78	689,121,000	17,217,400,000
Jun 01, 2018	995.66	1,010.34	979.83	1,002.92	538,528,000	17,084,100,000
May 31, 2018	983.57	1,027.73	975.40	995.34	705,260,000	16,874,900,000
May 30, 2018	990.07	1,025.64	954.89	984.68	591,775,000	16,984,700,000
May 29, 2018	896.85	1,003.51	880.89	987.66	688,334,000	15,383,800,000
May 28, 2018	996.65	1,005.65	884.05	892.12	566,168,000	17,093,800,000
May 27, 2018	1,009.20	1,009.79	982.27	996.92	507,306,000	17,307,300,000
May 26, 2018	1,015.68	1,046.49	1,001.18	1,012.48	486,186,000	17,416,700,000
May 25, 2018	1,072.74	1,073.05	998.52	1,017.30	620,340,000	18,393,100,000
May 24, 2018	1,005.01	1,078.36	958.82	1,071.36	785,384,000	17,230,000,000
May 23, 2018	1,142.25	1,153.91	978.27	1,005.61	858,106,000	19,580,700,000
May 22, 2018	1,233.70	1,233.70	1,131.93	1,141.86	634,202,000	21,146,400,000
May 21, 2018	1,296.03	1,301.55	1,221.57	1,233.64	622,773,000	22,212,300,000
May 20, 2018	1,183.20	1,306.95	1,174.97	1,291.77	805,599,000	20,276,500,000
May 19, 2018	1,206.61	1,208.99	1,159.66	1,184.96	595,862,000	20,675,400,000
May 18, 2018	1,202.20	1,218.00	1,143.12	1,207.24	876,975,000	20,597,700,000
May 17, 2018	1,290.22	1,335.41	1,185.99	1,206.17	804,139,000	22,103,600,000
May 16, 2018	1,341.89	1,359.36	1,241.99	1,280.62	913,178,000	22,986,200,000
May 15, 2018	1,430.28	1,456.35	1,323.31	1,343.38	939,358,000	24,497,900,000
May 14, 2018	1,489.33	1,501.64	1,353.79	1,431.69	1,158,710,000	25,506,600,000
May 13, 2018	1,474.76	1,507.88	1,427.09	1,493.12	921,628,000	25,254,500,000
May 12, 2018	1,376.05	1,501.65	1,284.44	1,472.40	1,461,450,000	23,561,700,000
May 11, 2018	1,527.49	1,556.64	1,332.58	1,371.74	1,513,260,000	26,151,900,000
May 10, 2018	1,646.15	1,669.83	1,523.56	1,528.59	1,070,040,000	28,180,600,000
May 09, 2018	1,607.87	1,679.03	1,484.29	1,638.34	1,273,220,000	27,522,400,000
May 08, 2018	1,673.07	1,693.35	1,569.44	1,611.94	1,060,740,000	28,635,500,000
May 07, 2018	1,766.66	1,781.47	1,590.30	1,655.20	1,407,630,000	30,234,100,000
May 06, 2018	1,758.83	1,838.49	1,670.34	1,765.69	1,946,960,000	30,097,000,000
May 05, 2018	1,516.74	1,753.11	1,515.07	1,752.10	1,664,400,000	25,951,400,000
May 04, 2018	1,501.40	1,538.46	1,466.21	1,517.33	960,185,000	25,686,300,000
May 03, 2018	1,459.55	1,536.80	1,454.97	1,511.97	1,282,660,000	24,967,800,000
May 02, 2018	1,353.54	1,480.58	1,326.91	1,458.72	1,165,140,000	23,151,900,000
May 01, 2018	1,348.64	1,351.28	1,261.60	1,351.28	774,633,000	23,065,700,000
Apr 30, 2018	1,440.96	1,440.96	1,339.36	1,350.05	753,114,000	24,642,000,000
Apr 29, 2018	1,393.99	1,477.31	1,378.01	1,440.30	1,049,450,000	23,836,300,000
Apr 28, 2018	1,337.96	1,418.61	1,334.27	1,396.25	808,802,000	22,875,800,000
Apr 27, 2018	1,422.06	1,422.06	1,337.85	1,337.85	905,273,000	24,311,000,000
Apr 26, 2018	1,289.54	1,420.41	1,250.86	1,420.41	1,281,930,000	22,043,200,000
Apr 25, 2018	1,426.71	1,437.18	1,246.61	1,284.79	1,830,970,000	24,385,300,000
Apr 24, 2018	1,434.01	1,560.94	1,414.11	1,426.42	2,053,920,000	24,507,700,000
Apr 23, 2018	1,194.71	1,443.27	1,194.71	1,432.26	1,934,290,000	20,415,700,000
Apr 22, 2018	1,147.48	1,250.51	1,116.27	1,201.22	968,409,000	19,606,600,000
Apr 21, 2018	1,126.86	1,172.28	1,028.03	1,154.69	1,093,510,000	19,252,100,000
Apr 20, 2018	970.15	1,142.50	947.88	1,128.02	1,006,640,000	16,572,900,000
Apr 19, 2018	890.66	983.58	878.45	968.64	658,165,000	15,213,400,000
Apr 18, 2018	758.25	893.57	757.39	888.91	634,653,000	12,950,200,000
Apr 17, 2018	766.70	784.49	755.38	757.59	331,701,000	13,093,100,000
Apr 16, 2018	781.12	797.88	745.73	766.47	382,080,000	13,338,000,000
Apr 15, 2018	741.91	785.35	741.91	780.83	327,336,000	12,667,100,000
Apr 14, 2018	738.72	760.48	723.22	738.99	267,415,000	12,611,200,000
Apr 13, 2018	735.78	781.13	725.40	738.30	384,095,000	12,559,600,000
Apr 12, 2018	666.39	734.48	658.93	734.48	417,017,000	11,374,200,000
Apr 11, 2018	648.90	666.58	648.90	666.58	252,158,000	11,074,400,000
Apr 10, 2018	637.70	657.01	628.86	649.62	225,054,000	10,882,100,000
Apr 09, 2018	656.09	680.60	627.32	637.03	254,947,000	11,194,800,000
Apr 08, 2018	640.89	659.81	640.89	655.26	198,906,000	10,934,300,000
Apr 07, 2018	611.20	652.59	610.41	640.35	231,143,000	10,426,600,000
Apr 06, 2018	641.86	646.08	603.71	610.43	225,186,000	10,948,500,000
Apr 05, 2018	648.63	655.52	620.10	646.04	243,989,000	11,062,800,000
Apr 04, 2018	710.47	711.27	638.01	649.20	282,960,000	12,116,300,000
Apr 03, 2018	664.15	719.77	660.35	712.88	303,771,000	11,325,100,000
Apr 02, 2018	644.46	686.03	641.43	662.77	282,036,000	10,988,300,000
Apr 01, 2018	688.01	699.05	629.93	643.03	318,440,000	11,729,600,000
Mar 31, 2018	697.62	735.82	683.99	685.25	306,972,000	11,892,100,000
Mar 30, 2018	712.41	766.97	677.53	697.01	416,567,000	12,142,900,000
Mar 29, 2018	861.61	867.31	703.18	714.27	452,656,000	14,684,500,000
Mar 28, 2018	876.36	897.63	852.88	860.52	337,268,000	14,934,500,000
Mar 27, 2018	916.99	926.38	876.33	876.33	339,011,000	15,625,100,000
Mar 26, 2018	967.90	975.61	887.00	919.25	347,366,000	16,490,800,000
Mar 25, 2018	973.60	991.07	965.52	966.88	237,008,000	16,586,300,000
Mar 24, 2018	1,028.12	1,030.43	982.30	982.30	264,080,000	17,513,300,000
Mar 23, 2018	1,011.83	1,019.43	966.40	1,019.43	303,600,000	17,233,800,000
Mar 22, 2018	1,033.26	1,064.22	992.56	1,011.52	344,283,000	17,597,100,000
Mar 21, 2018	1,066.03	1,082.35	1,016.37	1,033.45	389,291,000	18,153,200,000
Mar 20, 2018	998.17	1,072.42	958.51	1,059.12	503,262,000	16,996,000,000
Mar 19, 2018	942.60	997.28	915.51	994.68	425,419,000	16,048,000,000
Mar 18, 2018	948.28	948.28	851.61	938.12	435,070,000	16,143,000,000
Mar 17, 2018	974.70	1,028.73	930.44	949.78	411,316,000	16,591,000,000
Mar 16, 2018	943.60	1,053.63	902.78	977.04	472,033,000	16,059,900,000
Mar 15, 2018	949.77	954.41	877.10	943.64	374,741,000	16,163,200,000
Mar 14, 2018	1,071.50	1,073.12	924.41	949.47	406,616,000	18,233,000,000
Mar 13, 2018	1,051.07	1,100.07	999.75	1,064.03	458,028,000	17,883,400,000
Mar 12, 2018	1,143.94	1,152.56	1,022.03	1,051.28	425,558,000	19,461,500,000
Mar 11, 2018	1,002.55	1,157.07	973.36	1,145.17	514,167,000	17,054,300,000
Mar 10, 2018	1,071.15	1,087.30	994.19	1,005.93	370,367,000	18,219,100,000
Mar 09, 2018	1,034.69	1,071.65	937.97	1,067.02	510,887,000	17,597,200,000
Mar 08, 2018	1,094.64	1,113.61	1,006.86	1,040.21	446,519,000	18,614,800,000
Mar 07, 2018	1,205.84	1,218.84	1,043.70	1,092.16	455,225,000	20,503,500,000
Mar 06, 2018	1,264.19	1,264.19	1,179.85	1,206.04	401,782,000	21,493,500,000
Mar 05, 2018	1,287.10	1,291.88	1,268.03	1,268.03	350,078,000	21,880,600,000
Mar 04, 2018	1,267.86	1,289.72	1,225.10	1,289.08	367,584,000	21,551,400,000
Mar 03, 2018	1,274.67	1,302.80	1,257.76	1,270.38	371,664,000	21,664,900,000
Mar 02, 2018	1,284.95	1,303.66	1,255.37	1,275.18	421,498,000	21,837,400,000
Mar 01, 2018	1,204.84	1,303.45	1,195.03	1,291.92	482,240,000	20,473,600,000
Feb 28, 2018	1,243.26	1,275.66	1,204.16	1,204.16	375,301,000	21,124,100,000
Feb 27, 2018	1,255.45	1,297.69	1,231.99	1,246.66	420,912,000	21,329,300,000
Feb 26, 2018	1,177.58	1,274.86	1,149.44	1,250.56	460,182,000	20,004,000,000
Feb 25, 2018	1,191.35	1,210.20	1,143.07	1,178.10	362,665,000	20,235,800,000
Feb 24, 2018	1,266.56	1,309.38	1,149.48	1,193.27	413,263,000	21,511,100,000
Feb 23, 2018	1,217.36	1,319.33	1,161.42	1,270.71	492,542,000	20,673,300,000
Feb 22, 2018	1,304.66	1,350.34	1,194.05	1,219.49	475,079,000	22,153,600,000
Feb 21, 2018	1,412.85	1,423.94	1,293.47	1,308.46	575,354,000	23,988,100,000
Feb 20, 2018	1,543.27	1,569.03	1,414.35	1,418.73	820,947,000	26,199,800,000
Feb 19, 2018	1,483.34	1,553.81	1,483.34	1,534.77	578,906,000	25,179,700,000
Feb 18, 2018	1,552.10	1,641.40	1,428.49	1,487.46	907,873,000	26,344,200,000
Feb 17, 2018	1,548.48	1,568.64	1,517.14	1,551.39	641,719,000	26,280,100,000
Feb 16, 2018	1,373.16	1,558.66	1,369.68	1,552.20	961,010,000	23,302,000,000
Feb 15, 2018	1,358.65	1,400.71	1,330.18	1,375.81	502,454,000	23,053,300,000
Feb 14, 2018	1,229.18	1,384.06	1,229.18	1,362.27	629,852,000	20,854,300,000
Feb 13, 2018	1,285.23	1,289.42	1,205.73	1,231.98	442,663,000	21,803,000,000
Feb 12, 2018	1,222.43	1,302.66	1,222.43	1,283.91	466,213,000	20,735,400,000
Feb 11, 2018	1,255.59	1,306.20	1,197.87	1,217.64	651,555,000	21,295,600,000
Feb 10, 2018	1,311.99	1,394.81	1,215.72	1,257.31	734,606,000	22,249,700,000
Feb 09, 2018	1,273.87	1,342.41	1,206.39	1,312.11	1,133,760,000	21,601,200,000
Feb 08, 2018	951.57	1,345.20	951.57	1,284.56	2,203,710,000	16,133,900,000
Feb 07, 2018	971.08	1,040.49	902.49	957.96	866,222,000	16,462,900,000
Feb 06, 2018	890.97	978.91	764.02	974.53	777,420,000	15,103,100,000
Feb 05, 2018	1,159.89	1,172.70	839.95	887.41	568,117,000	19,659,800,000
Feb 04, 2018	1,273.17	1,286.98	1,101.31	1,165.38	656,034,000	21,577,500,000
Feb 03, 2018	1,194.23	1,314.43	1,072.83	1,272.50	453,101,000	20,237,400,000
Feb 02, 2018	1,272.50	1,272.50	980.78	1,191.14	896,666,000	21,561,700,000
Feb 01, 2018	1,491.12	1,503.30	1,214.88	1,274.35	678,020,000	25,263,200,000
Jan 31, 2018	1,470.74	1,522.87	1,406.25	1,486.89	729,209,000	24,915,700,000
