Date	Open*	High	Low	Close**	Volume	Market Cap
Aug 02, 2018	29.93	30.17	28.13	28.53	54,152,700	1,945,645,037
Aug 01, 2018	29.97	30.43	28.82	29.89	59,706,400	1,948,331,137
Jul 31, 2018	32.22	32.26	29.55	30.06	69,345,600	2,094,438,686
Jul 30, 2018	33.53	33.53	31.79	32.28	76,035,000	2,179,710,026
Jul 29, 2018	34.03	34.32	33.36	33.60	71,226,496	2,212,047,616
Jul 28, 2018	33.55	33.75	32.85	33.75	67,771,600	2,180,886,528
Jul 27, 2018	33.18	33.95	32.34	33.47	77,205,696	2,156,979,456
Jul 26, 2018	34.21	35.38	32.88	33.24	86,474,304	2,223,773,440
Jul 25, 2018	33.75	35.07	33.55	34.18	92,019,400	2,193,548,288
Jul 24, 2018	32.20	35.41	31.40	34.05	118,100,000	2,093,000,064
Jul 23, 2018	33.25	34.47	32.19	32.19	81,723,000	2,161,250,048
Jul 22, 2018	34.26	34.74	32.94	33.28	74,153,200	2,226,822,144
Jul 21, 2018	33.33	35.06	32.53	34.31	85,597,904	2,166,723,072
Jul 20, 2018	36.06	36.06	33.14	33.38	103,809,000	2,343,945,472
Jul 19, 2018	37.56	37.93	35.70	36.09	99,780,304	2,441,191,936
Jul 18, 2018	39.33	40.21	37.11	37.60	143,288,992	2,556,592,896
Jul 17, 2018	36.89	39.97	35.81	39.32	136,894,000	2,397,772,032
Jul 16, 2018	33.57	37.09	33.09	37.07	128,169,000	2,182,193,152
Jul 15, 2018	32.48	33.96	32.20	33.41	86,309,504	2,111,258,496
Jul 14, 2018	33.16	33.55	31.68	32.62	74,716,704	2,155,412,992
Jul 13, 2018	31.96	33.91	31.96	33.23	127,253,000	2,077,718,400
Jul 12, 2018	33.88	33.88	30.79	31.77	111,093,000	2,201,998,592
Jul 11, 2018	33.46	34.56	32.23	33.91	98,957,504	2,174,958,336
Jul 10, 2018	36.57	36.85	33.32	33.39	193,408,000	2,377,342,464
Jul 09, 2018	39.10	39.30	36.71	36.78	164,582,000	2,541,675,520
Jul 08, 2018	39.27	41.73	38.88	39.13	150,560,000	2,552,796,928
Jul 07, 2018	37.74	39.34	36.45	39.34	88,447,504	2,453,152,000
Jul 06, 2018	40.59	40.71	36.98	37.65	136,135,008	2,638,148,352
Jul 05, 2018	40.49	42.84	39.47	40.74	190,606,000	2,631,654,912
Jul 04, 2018	36.12	42.11	35.38	40.29	216,351,008	2,348,014,336
Jul 03, 2018	36.02	38.24	35.58	36.10	150,783,008	2,341,416,960
Jul 02, 2018	31.35	36.81	31.04	35.98	142,578,000	2,037,535,488
Jul 01, 2018	30.81	31.61	29.76	31.33	72,319,000	2,002,454,912
Jun 30, 2018	29.70	31.85	29.70	30.64	73,997,696	1,930,512,896
Jun 29, 2018	28.36	30.11	27.26	29.64	64,412,600	1,843,705,472
Jun 28, 2018	30.31	30.53	28.23	28.36	52,412,700	1,970,194,304
Jun 27, 2018	30.45	30.58	29.61	30.32	53,013,200	1,979,392,512
Jun 26, 2018	31.63	31.83	30.13	30.31	52,380,500	2,056,182,912
Jun 25, 2018	31.17	32.58	30.75	31.71	58,836,700	2,025,796,224
Jun 24, 2018	34.24	34.31	29.32	31.27	90,829,600	2,225,811,968
Jun 23, 2018	33.09	34.78	33.06	34.27	53,422,000	2,150,573,824
Jun 22, 2018	37.82	37.85	32.41	33.26	84,102,496	2,458,159,360
Jun 21, 2018	38.98	39.69	37.45	37.84	70,598,704	2,533,984,512
Jun 20, 2018	39.93	40.00	37.95	38.93	71,498,704	2,595,280,384
Jun 19, 2018	39.63	41.01	39.18	39.94	75,684,096	2,576,095,232
Jun 18, 2018	38.74	40.40	37.43	39.70	88,125,504	2,517,798,400
Jun 17, 2018	38.57	39.57	38.00	38.76	64,709,800	2,506,903,808
Jun 16, 2018	38.24	39.00	36.99	38.20	67,913,800	2,485,794,304
Jun 15, 2018	40.85	40.94	38.20	38.26	68,554,496	2,655,200,512
Jun 14, 2018	38.31	41.61	38.06	40.85	105,352,000	2,489,917,184
Jun 13, 2018	41.50	41.81	37.25	38.15	98,023,200	2,697,688,320
Jun 12, 2018	45.49	46.44	41.11	41.49	83,302,000	2,956,607,488
Jun 11, 2018	45.56	45.92	43.26	45.60	85,727,200	2,961,513,728
