Date	Open*	High	Low	Close**	Volume	Market Cap
Aug 02, 2018	6.85	7.02	6.45	6.47	133,835,000	608,084,712
Aug 01, 2018	6.93	6.94	6.60	6.84	170,667,000	615,030,891
Jul 31, 2018	7.45	7.47	6.84	6.94	154,631,000	661,182,396
Jul 30, 2018	7.75	7.76	7.22	7.47	128,303,000	687,889,363
Jul 29, 2018	7.78	7.82	7.66	7.76	156,180,000	690,325,440
Jul 28, 2018	7.87	7.92	7.66	7.74	268,146,000	697,917,440
Jul 27, 2018	7.79	7.99	7.62	7.87	196,548,000	691,131,904
Jul 26, 2018	8.11	8.27	7.72	7.80	155,212,000	719,366,272
Jul 25, 2018	8.02	8.24	7.90	8.10	219,391,008	711,448,512
Jul 24, 2018	7.81	8.20	7.67	8.19	219,243,008	692,227,840
Jul 23, 2018	7.82	8.21	7.77	7.80	189,591,008	693,344,128
Jul 22, 2018	7.81	8.25	7.70	7.83	151,295,008	692,906,112
Jul 21, 2018	7.80	7.98	7.57	7.85	207,044,000	691,257,792
Jul 20, 2018	8.43	8.43	7.75	7.78	142,431,008	747,787,648
Jul 19, 2018	8.60	8.82	8.31	8.40	195,766,000	762,727,616
Jul 18, 2018	8.83	9.14	8.53	8.64	205,520,000	783,066,368
Jul 17, 2018	8.38	8.99	8.10	8.86	204,938,000	743,255,168
Jul 16, 2018	7.83	8.42	7.77	8.40	189,919,008	694,415,168
Jul 15, 2018	7.66	7.99	7.59	7.82	106,939,000	678,879,360
Jul 14, 2018	7.66	7.79	7.49	7.74	85,742,496	679,015,040
Jul 13, 2018	7.52	7.91	7.52	7.66	93,324,600	667,181,824
Jul 12, 2018	7.92	8.00	7.45	7.61	103,204,000	702,117,440
Jul 11, 2018	7.84	8.02	7.72	7.92	94,374,800	695,268,096
Jul 10, 2018	8.63	8.65	7.85	7.88	120,067,000	765,328,192
Jul 09, 2018	8.97	9.05	8.61	8.62	117,174,000	795,604,416
Jul 08, 2018	9.33	9.40	8.96	9.01	117,999,000	827,165,440
Jul 07, 2018	9.05	9.51	8.87	9.34	145,484,992	802,068,992
Jul 06, 2018	8.77	9.06	8.51	9.06	127,857,000	777,310,272
Jul 05, 2018	8.99	9.20	8.58	8.81	125,399,000	797,339,648
Jul 04, 2018	8.91	9.32	8.68	8.97	128,182,000	789,788,096
Jul 03, 2018	9.16	9.41	8.85	8.91	131,291,000	812,362,048
Jul 02, 2018	8.63	9.29	8.40	9.18	141,672,000	764,961,984
Jul 01, 2018	8.58	8.95	8.37	8.69	131,067,000	760,855,040
Jun 30, 2018	8.11	8.72	8.11	8.57	286,684,000	719,512,512
Jun 29, 2018	7.97	8.23	7.72	8.11	85,193,504	706,316,608
Jun 28, 2018	8.83	8.90	7.85	7.98	78,710,600	783,149,952
Jun 27, 2018	8.31	9.31	8.22	8.85	124,461,000	736,942,528
Jun 26, 2018	8.37	9.18	8.13	8.31	145,322,000	742,304,896
